Job_Title,Company_Name,Location,Summary,Days_Posted_Ago
Online Python Trainer (Female candidates only),Whitehat Education Technology Pvt. Ltd.,"Mumbai, Maharashtra","You'll teach students aged 15-18 coding (algorithms, data structure).
WhiteHat Jr* was created to solve the #1 gap in the global school system today.",30+ days ago
Sales Executive,Ninjacart,"Mumbai, Maharashtra","We do this effectively at lower cost, better speed and larger scale using integrated supply chain powered by technology, data science, infrastructure and…",30+ days ago
Data Science Engineer,Mystro,"Mumbai, Maharashtra",Building advanced ML models for statement processing and transaction data processing on top of existing technology stack for understanding Customers better and…,29 days ago
Data Visualisation (Tableau),Tata Insights and Quants,"Mumbai, Maharashtra","Contributing to Community through big data:
Good knowledge on Level of Detail Expressions & Web data connector.
Tata Insights and Quants – Journey to Date.",30+ days ago
Data Scientist,NOVIQUE HEALTH,"Mumbai, Maharashtra","Complex data domains, especially: natural language, health data e.g. insurance claims.
Our innovations in nutritional biochemistry, data science and digital…",30+ days ago
Machine Learning-AI - Data Science,Accenture,"Mumbai, Maharashtra","It focuses on the development of computer programs that can change when exposed to new data.
Job Skill:AI - Data Science.
Years of Experience: 8-9 years.",16 days ago
Data Science Optimization,Tata Insights and Quants,"Mumbai, Maharashtra","3+ year of work experience in optimization, simulation and data science.
Contributing to Community through big data:
Tata Insights and Quants – Journey to Date.",30+ days ago
Data Analyst,ROCHEM Separation Systems,"Bandra, Mumbai, Maharashtra",Job Description : Job Responsibilities include: • Creating excel templates for data collection and reporting • Collating and consolidating raw data from various…,30+ days ago
Associate Clinical Data Manager,Ancillarie,"Mumbai, Maharashtra","Bachelor’s Degree (Science, Pharmacy, Life science), or Final Year Appeared with zero to one year of experience in Clinical Data Management.",30+ days ago
Research & Development (Neural Machine Translation) Internsh...,IIT Bombay,"Mumbai, Maharashtra","Work on data cleaning, pre-processing, and text parsing 2.
The Indian Institute of Technology, Bombay (IITB) is one of the fifteen higher institutes of…",1 day ago
Alteryx Data Specialist,Brillio,"Mumbai, Maharashtra","Development of data integration pipelines for reusability.
Expertise in designing and developing data processing pipelines with Talend, Alteryx/Informatica.",14 days ago
Data Analyst – PB APAC Products,Credit Suisse,"Mumbai, Maharashtra","Interpret data and analyze results; Identify, analyze, and interpret trends or patterns in complex data sets using standard statistical tools and techniques.",30+ days ago
Associate Scientist Regulatory Affairs; Life Cycle Managemen...,Procter & Gamble,"Mumbai, Maharashtra","Procter & Gamble is one of the largest FMCG (Fast Moving Consumer Goods) company in the world with strong brands like Pampers, Ariel, Always, Gillette and Oral…",17 days ago
Scientific Writer - Publications,Cactus Communications,"Mumbai, Maharashtra","Excellent data interpretation and presentation skills.
Proven skills in writing and editing documents and interpretation and summarization of complex clinical…",30+ days ago
Assistant Manager - Analytics,Colgate-Palmolive,"Mumbai, Maharashtra","Experience with third-party data i.e., syndicated market data, Point of Sales, etc.
Mine data through various technologies like BigQuery and SQL.",30+ days ago
Analyst - Analytics,Colgate-Palmolive,"Mumbai, Maharashtra","Experience with third-party data i.e., syndicated market data, Point of Sales, etc.
Update and manage master data sets.
Become part of our team.",15 days ago
Associate Scientist Regulatory Affairs; Life Cycle Managemen...,Procter & Gamble,"Mumbai, Maharashtra","Procter & Gamble is one of the largest FMCG (Fast Moving Consumer Goods) company in the world with strong brands like Pampers, Ariel, Always, Gillette and Oral…",17 days ago
[ServiceNow developer] Technology Specialist Applications,Telstra,Maharashtra,"Supporting the design and development of requirements for the CMDB with automated processes for gathering and populating CMDB data.
What can we offer you?",Just posted
Online Python Trainer (Female candidates only),Whitehat Education Technology Pvt. Ltd.,"Mumbai, Maharashtra","You'll teach students aged 15-18 coding (algorithms, data structure).
WhiteHat Jr* was created to solve the #1 gap in the global school system today.",30+ days ago
Business Analyst,General Mills,"Mumbai, Maharashtra","Experience with syndicated data is required (experience working with ACNielsen and IRI data preferred.).
Guarantee data quality and accuracy through thorough…",6 days ago
Customer Science - DC,DBS Bank,"Mumbai, Maharashtra","Conduct data mining and analysis to understand the customer pain points.
4-5 years of experience in data analytics and project management.",30+ days ago
Data Science (Jupyter/Azure ML/MatLab),Accenture,"Mumbai, Maharashtra",About Accenture: Accenture Technology powers our clients’ businesses with innovative technologies—established and emerging—changing the way their people and…,30+ days ago
Backup Consultant,IBM,"Mumbai, Maharashtra","IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition.
What about all of these?",1 day ago
"Data Analyst, Strategy & Operations",Saavn,"Mumbai, Maharashtra","1-2 years of experience with data visualization tools such as Tableau.
+2 years experience working with Python (or R) for data analysis, visualization, and…",14 days ago
Clinical Data Manager,Ancillarie,"Mumbai, Maharashtra","Bachelor’s Degree (Science, Pharmacy, Life science), with minimum Four to five years of experience in Clinical Data Management.
We are employee driven company.",30+ days ago
Data Analytics Team Leader,Institutional Shareholder Services Inc,"Mumbai, Maharashtra","The Team Leader will co-ordinate a group including database, front-end and quality specialists and provide interface design and data analytics guidance to the…",8 days ago
Data Management and Data Visualisation,Tata Insights and Quants,"Mumbai, Maharashtra","Contributing to Community through big data:
O Basic understanding of advanced analytics and managing Unstructured data.
Company : Tata Insights and Quants.",30+ days ago
"Management, Statutory and Regional Reporting Analyst",Deutsche Bank,"Mumbai, Maharashtra","This role requires you to have a sound knowledge in Access, Excel, Database Analysis tools (using SQL to source data from a central database).",3 days ago
Collections Lead,Branch International,"Mumbai, Maharashtra","Regularly analyze collections data and continuously improve processes.
With offices in San Francisco, Lagos, Mexico City, Mumbai and Nairobi, Branch is a for…",Today
Scientific Writer - Publications,Cactus Communications,"Mumbai, Maharashtra","Excellent data interpretation and presentation skills.
Proven skills in writing and editing documents and interpretation and summarization of complex clinical…",30+ days ago
Team Lead - General Accounting,Colgate-Palmolive,"Mumbai, Maharashtra","Respond promptly to miscellaneous data requests and audits, run matching engines and upload statements.
Relocation Assistance Offered Within Country.",7 days ago
Analyst - Analytics,Colgate-Palmolive,"Mumbai, Maharashtra","Experience with third-party data i.e., syndicated market data, Point of Sales, etc.
Update and manage master data sets.
Become part of our team.",15 days ago
Assistant Manager - Analytics,Colgate-Palmolive,"Mumbai, Maharashtra","Experience with third-party data i.e., syndicated market data, Point of Sales, etc.
Mine data through various technologies like BigQuery and SQL.",30+ days ago
Online Python Trainer (Female candidates only),Whitehat Education Technology Pvt. Ltd.,"Mumbai, Maharashtra","You'll teach students aged 15-18 coding (algorithms, data structure).
WhiteHat Jr* was created to solve the #1 gap in the global school system today.",30+ days ago
[ServiceNow developer] Technology Specialist Applications,Telstra,Maharashtra,"Supporting the design and development of requirements for the CMDB with automated processes for gathering and populating CMDB data.
What can we offer you?",Just posted
Data Scientist,BookMyShow,"Mumbai, Maharashtra","Will Perform data analysis by integrating different data sources.
Passionate about everything around data.
Understanding business problems and addressing them…",30+ days ago
Data Product Analyst,Saavn,"Mumbai, Maharashtra","Data science or data engineering.
Deep understanding of data analysis, and ability to translate complex data sets and ideas into simple data points,…",30+ days ago
Junior Data Analyst,Happy Marketer,"Mumbai, Maharashtra","Perform root cause analysis on complex data anomalies and working closely data stewards to define best practice.
Strong communication, analytical, data-mining.",30+ days ago
"Intern, Technology (Data Management)",TeachForIndia,"Mumbai, Maharashtra","Acquire data from primary or secondary data sources and maintain databases/data systems.
Technical expertise regarding data models, database design development,…",30+ days ago
Senior Process Executive-Data,Cognizant,"Mumbai, Maharashtra","Graduate/Post Graduate/ Doctorate degree in life sciences/Pharmacy/Medical sciences/Registered Nurse.
For PV/Complaints Management Individuals in this role…",30+ days ago
Data Engineer: Data Modeling,IBM,"Mumbai, Maharashtra","IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition.
Mentor or coach for scrum teams.",20 days ago
Manager,Transasia,"Mumbai, Maharashtra","Create effective customer service procedures, policies, and standards and strive to continually improve them.
Execute the Monthly sales targets execution as per…",4 days ago
"Associate, Data Management",TeachForIndia,"Mumbai, Maharashtra","Knowledge of data models, database design development, data mining, and segmentation techniques.
Service data management requests such as but not limited to…",30+ days ago
Data Scientist,BPrise,"Mumbai, Maharashtra","Experience with common data science toolkits, such as Python, NumPy, Pandas etc.
Contribute to data mining architectures, modelling standards, reporting, and…",30+ days ago
Analyst Data Scientist,Camsdata,"Mumbai, Maharashtra","Take initiative in evaluating and adapting new approaches from data science research.
Experience in practical data processing, data mining, text mining and…",30+ days ago
Associate Scientist Regulatory Affairs; Life Cycle Managemen...,Procter & Gamble,"Mumbai, Maharashtra","Procter & Gamble is one of the largest FMCG (Fast Moving Consumer Goods) company in the world with strong brands like Pampers, Ariel, Always, Gillette and Oral…",17 days ago
Assistant Manager - Analytics,Colgate-Palmolive,"Mumbai, Maharashtra","Experience with third-party data i.e., syndicated market data, Point of Sales, etc.
Mine data through various technologies like BigQuery and SQL.",30+ days ago
Analyst - Analytics,Colgate-Palmolive,"Mumbai, Maharashtra","Experience with third-party data i.e., syndicated market data, Point of Sales, etc.
Update and manage master data sets.
Become part of our team.",15 days ago
Team Lead - General Accounting,Colgate-Palmolive,"Mumbai, Maharashtra","Respond promptly to miscellaneous data requests and audits, run matching engines and upload statements.
Relocation Assistance Offered Within Country.",7 days ago
Scientific Writer - Publications,Cactus Communications,"Mumbai, Maharashtra","Excellent data interpretation and presentation skills.
Proven skills in writing and editing documents and interpretation and summarization of complex clinical…",30+ days ago
Analyst - Analytics,Colgate-Palmolive,"Mumbai, Maharashtra","Experience with third-party data i.e., syndicated market data, Point of Sales, etc.
Update and manage master data sets.
Become part of our team.",15 days ago
Assistant Manager - Analytics,Colgate-Palmolive,"Mumbai, Maharashtra","Experience with third-party data i.e., syndicated market data, Point of Sales, etc.
Mine data through various technologies like BigQuery and SQL.",30+ days ago
Associate Scientist Regulatory Affairs; Life Cycle Managemen...,Procter & Gamble,"Mumbai, Maharashtra","Procter & Gamble is one of the largest FMCG (Fast Moving Consumer Goods) company in the world with strong brands like Pampers, Ariel, Always, Gillette and Oral…",17 days ago
Online Python Trainer (Female candidates only),Whitehat Education Technology Pvt. Ltd.,"Mumbai, Maharashtra","You'll teach students aged 15-18 coding (algorithms, data structure).
WhiteHat Jr* was created to solve the #1 gap in the global school system today.",30+ days ago
Data Science and Growth Marketing Mumbai,Hungama Digital Media Entertainment,"Mumbai, Maharashtra",Mine data using state-of-the-art methods and interpret data and solve complex problems using expertise in a variety of data niches.,30+ days ago
Data Analyst,Institutional Shareholder Services Inc,"Mumbai, Maharashtra",Attend to internal/client queries and requests to ensure data captured is aligned with data methodology and policy guidelines.,30+ days ago
Computational Linguistic,Crimson Interactive,"Mumbai, Maharashtra","We have a passionate team of data scientists, coders, and linguists who have been working on it.
Bachelors/Masters/PhD in natural language processing,…",12 days ago
Data Scientist,Indus OS,"Mumbai, Maharashtra","Must have set up data pipelines to move data across systems.
2+ Experience of working on large data stacks.
Actively monitor all data stack at Indus OS.",30+ days ago
Data Scientist,RedLotus,"Mumbai, Maharashtra","Presenting information using data visualization techniques.
Undertake preprocessing of structured and unstructured data.",30+ days ago
Data Analyst,Augmenter Consulting,"Mumbai, Maharashtra","Acquire data from primary or secondary data source and maintain them for suitable actionable usage.
Technical expertise regarding data models, database design,…",30+ days ago
Assistant Vice President,Yes Bank,"Mumbai, Maharashtra","A solid foundation in computer science, with strong competencies in data structures, algorithms, and software design.
BFSI domain experience preferred.",Today
Data Scientist,Star,"Mumbai, Maharashtra","A proven passion for generating insights from data, with a strong familiarity with the higher-level trends in data growth, open-source platforms, and public…",30+ days ago
SOCIAL WORKER,BRIGHT FUTURE,"Mumbai, Maharashtra","Maintain the data of mobilization, planning, (Social Worker and CL) stakeholder.
Create Youth and adolescents and Schools pipeline and data base ready for the.",30+ days ago
Data Scientist,Aptus Health,"Navi Mumbai, Maharashtra","Transform business question into data requirements; collect and merge the data; analyse the data, link it to the business reality and present the results.",30+ days ago
Team Lead - General Accounting,Colgate-Palmolive,"Mumbai, Maharashtra","Respond promptly to miscellaneous data requests and audits, run matching engines and upload statements.
Relocation Assistance Offered Within Country.",7 days ago
Scientific Writer - Publications,Cactus Communications,"Mumbai, Maharashtra","Excellent data interpretation and presentation skills.
Proven skills in writing and editing documents and interpretation and summarization of complex clinical…",30+ days ago
Team Lead - General Accounting,Colgate-Palmolive,"Mumbai, Maharashtra","Respond promptly to miscellaneous data requests and audits, run matching engines and upload statements.
Relocation Assistance Offered Within Country.",7 days ago
Scientific Writer - Publications,Cactus Communications,"Mumbai, Maharashtra","Excellent data interpretation and presentation skills.
Proven skills in writing and editing documents and interpretation and summarization of complex clinical…",30+ days ago
Associate Scientist Regulatory Affairs; Life Cycle Managemen...,Procter & Gamble,"Mumbai, Maharashtra","Procter & Gamble is one of the largest FMCG (Fast Moving Consumer Goods) company in the world with strong brands like Pampers, Ariel, Always, Gillette and Oral…",17 days ago
Sales Executive,Ninjacart,"Mumbai, Maharashtra","We do this effectively at lower cost, better speed and larger scale using integrated supply chain powered by technology, data science, infrastructure and…",30+ days ago
Health Finance Partner,Roche,"Mumbai, Maharashtra","Develop and deliver compelling presentations to inform evidence-based/data-driven decision making.
Healthcare Funding & Financing Initiatives Manager/Senior…",3 days ago
Manager,Transasia,"Mumbai, Maharashtra","Create effective customer service procedures, policies, and standards and strive to continually improve them.
Execute the Monthly sales targets execution as per…",4 days ago
Data Scientist,NOVIQUE HEALTH,"Mumbai, Maharashtra","Complex data domains, especially: natural language, health data e.g. insurance claims.
Our innovations in nutritional biochemistry, data science and digital…",30+ days ago
Backup Consultant,IBM,"Mumbai, Maharashtra","IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition.
What about all of these?",1 day ago
Data Scientist,Finicity,"Navi Mumbai, Maharashtra","As a Data Scientist, you will take lead on exploring and creating business value from data science operations in new business data domains, working with other…",30+ days ago
Data Management and Data Visualisation,Tata Insights and Quants,"Mumbai, Maharashtra","Contributing to Community through big data:
O Basic understanding of advanced analytics and managing Unstructured data.
Company : Tata Insights and Quants.",30+ days ago
Deep Learning part time job/internship at Mumbai,IIT Bombay,"Mumbai, Maharashtra","The Indian Institute of Technology, Bombay (IITB) is one of the fifteen higher institutes of technology in the country set up with the objective of making…",26 days ago
Data Scientist,Thoucentric,"Mumbai, Maharashtra","4-6 years’ experience in data science/Analytics roles.
Develop and maintain robust data processing pipelines and reproducible modelling pipelines.",30+ days ago
Document Control Specialist,PerkinElmer,"Thane, Maharashtra","Strong data analysis skills and proficiency in electronic data management systems.
As a Document Control Specialist, you will be a valued team member of Global…",30+ days ago
"Data Analyst, Strategy & Operations",Saavn,"Mumbai, Maharashtra","1-2 years of experience with data visualization tools such as Tableau.
+2 years experience working with Python (or R) for data analysis, visualization, and…",15 days ago
Analyst - Analytics,Colgate-Palmolive,"Mumbai, Maharashtra","Experience with third-party data i.e., syndicated market data, Point of Sales, etc.
Update and manage master data sets.
Become part of our team.",15 days ago
Assistant Manager - Analytics,Colgate-Palmolive,"Mumbai, Maharashtra","Experience with third-party data i.e., syndicated market data, Point of Sales, etc.
Mine data through various technologies like BigQuery and SQL.",30+ days ago
Team Lead - General Accounting,Colgate-Palmolive,"Mumbai, Maharashtra","Respond promptly to miscellaneous data requests and audits, run matching engines and upload statements.
Relocation Assistance Offered Within Country.",7 days ago
Scientific Writer - Publications,Cactus Communications,"Mumbai, Maharashtra","Excellent data interpretation and presentation skills.
Proven skills in writing and editing documents and interpretation and summarization of complex clinical…",30+ days ago
Associate Scientist Regulatory Affairs; Life Cycle Managemen...,Procter & Gamble,"Mumbai, Maharashtra","Procter & Gamble is one of the largest FMCG (Fast Moving Consumer Goods) company in the world with strong brands like Pampers, Ariel, Always, Gillette and Oral…",17 days ago
[ServiceNow developer] Technology Specialist Applications,Telstra,Maharashtra,"Supporting the design and development of requirements for the CMDB with automated processes for gathering and populating CMDB data.
What can we offer you?",Just posted
Data Scientist,Staffio HR,"Mumbai, Maharashtra","Has worked in a big data environment before alongside a big data engineering team (and data visualization team, data and business analysts).",2 days ago
Team Lead,Cognizant,"Mumbai, Maharashtra","Ensures data integrity of data presented to client.
Graduate/Post Graduate/ Doctorate degree in life sciences/Pharmacy/Medical sciences/Registered Nurse.",17 days ago
Computational Linguistic,Crimson Interactive,"Mumbai, Maharashtra","We have a passionate team of data scientists, coders, and linguists who have been working on it.
Bachelors/Masters/PhD in natural language processing,…",12 days ago
Data Scientist,Star India,"Mumbai, Maharashtra","A proven passion for generating insights from data, with a strong familiarity with the higher-level trends in data growth, open-source platforms, and public…",30+ days ago
Senior Specialist – Tableau Data Visualization,JLT India,"Powai, Mumbai, Maharashtra","Understand the data mart/data warehousing concepts along with knowledge of SQL to write complex, highly-optimized queries across large volumes of data.",30+ days ago
"Manager, Technology (Data Management)",TeachForIndia,"Mumbai, Maharashtra","Drive data architecture and design of data management systems across verticals.
Knowledge of data warehousing, data mining, and segmentation techniques.",30+ days ago
Data Scientist II,"General Mills Services, Inc.","Mumbai, Maharashtra","Ability to understand business use case and convert into data science parlance.
General Mills is seeking a Data Scientist to join a new data science team in the…",30+ days ago
Data Scientist,Hookfish,"Mumbai, Maharashtra","We are looking for a data scientist that will help us discover the information hidden in vast amounts of data, and help us make smarter decisions to deliver…",30+ days ago
Director - Data Science & Analytics,Michael Page,"Mumbai, Maharashtra","Collaborating with data engineering team on building data marts, reports, data warehouse, data pipelines and data tracking mechanisms.
Room to learn and grow.",30+ days ago
Data Scientist III,General Mills,"Mumbai, Maharashtra",General Mills is seeking a Data Scientist to join a new data science team in the Global Business Solutions (shared services organization) that is tasked with…,30+ days ago
Assistant Manager - Analytics,Colgate-Palmolive,"Mumbai, Maharashtra","Experience with third-party data i.e., syndicated market data, Point of Sales, etc.
Mine data through various technologies like BigQuery and SQL.",30+ days ago
Analyst - Analytics,Colgate-Palmolive,"Mumbai, Maharashtra","Experience with third-party data i.e., syndicated market data, Point of Sales, etc.
Update and manage master data sets.
Become part of our team.",15 days ago
Analyst - Analytics,Colgate-Palmolive,"Mumbai, Maharashtra","Experience with third-party data i.e., syndicated market data, Point of Sales, etc.
Update and manage master data sets.
Become part of our team.",15 days ago
Assistant Manager - Analytics,Colgate-Palmolive,"Mumbai, Maharashtra","Experience with third-party data i.e., syndicated market data, Point of Sales, etc.
Mine data through various technologies like BigQuery and SQL.",30+ days ago
Associate Scientist Regulatory Affairs; Life Cycle Managemen...,Procter & Gamble,"Mumbai, Maharashtra","Procter & Gamble is one of the largest FMCG (Fast Moving Consumer Goods) company in the world with strong brands like Pampers, Ariel, Always, Gillette and Oral…",17 days ago
Sales Executive,Ninjacart,"Mumbai, Maharashtra","We do this effectively at lower cost, better speed and larger scale using integrated supply chain powered by technology, data science, infrastructure and…",30+ days ago
Analyst,Morningstar,"Mumbai, Maharashtra","We are looking for a team member with basic knowledge of financial markets, statistical packages, data analytics or decision science.",30+ days ago
Data Scientist,Thoucentric,"Mumbai, Maharashtra","4-6 years’ experience in data science/Analytics roles.
Develop and maintain robust data processing pipelines and reproducible modelling pipelines.",30+ days ago
Research Associate,Clariant,"Airoli, Navi Mumbai, Maharashtra","Demonstrate strong theoretical know how in Chemistry, colloids and interface science.
Timely submission of samples for analysis and record the data in a…",30+ days ago
Urgent Job Openings,Angel And Genie,"Mumbai, Maharashtra","Ã¢Â€Â¢Thorough understanding of at least one of the NoSQL data stores- Preferable, if it includes Cassandra, Elastic Search, JanusGraph, Spark or Kafka.",20 days ago
Data Scientist,Finicity,"Navi Mumbai, Maharashtra","As a Data Scientist, you will take lead on exploring and creating business value from data science operations in new business data domains, working with other…",30+ days ago
Data Analyst - Conventional Analytics,Sanofi,"Mumbai, Maharashtra","Experience with systems integration, ETL technologies, systems and data migration (in life sciences space will be preferred).",30+ days ago
Financial/Data Engineer (Mumbai),Enfusion,"Mumbai, Maharashtra","Advanced Financial Engineering across portfolio data.
In this role, you will be part of our product implementation team working directly with Enfusion's…",15 days ago
Deep Learning part time job/internship at Mumbai,IIT Bombay,"Mumbai, Maharashtra","The Indian Institute of Technology, Bombay (IITB) is one of the fifteen higher institutes of technology in the country set up with the objective of making…",26 days ago
Risk Policy Analyst I - C09 Financial Crimes,CITI,"Mumbai, Maharashtra","Strong understanding and experience working with machine learning algorithms, unstructured data and network science.
BUSINESS GROUP: Global Consumer Bank (GCB).",22 days ago
Regulatory Affairs Specialist,PerkinElmer,"Thane, Maharashtra","Bachelor’s degree in life science related field (Medical Technology, Clinical Chemistry, Biology).
He/she will represent regulatory submissions on global cross…",30+ days ago
Team Lead - General Accounting,Colgate-Palmolive,"Mumbai, Maharashtra","Respond promptly to miscellaneous data requests and audits, run matching engines and upload statements.
Relocation Assistance Offered Within Country.",7 days ago
Scientific Writer - Publications,Cactus Communications,"Mumbai, Maharashtra","Excellent data interpretation and presentation skills.
Proven skills in writing and editing documents and interpretation and summarization of complex clinical…",30+ days ago
Assistant Manager - Analytics,Colgate-Palmolive,"Mumbai, Maharashtra","Experience with third-party data i.e., syndicated market data, Point of Sales, etc.
Mine data through various technologies like BigQuery and SQL.",30+ days ago
Analyst - Analytics,Colgate-Palmolive,"Mumbai, Maharashtra","Experience with third-party data i.e., syndicated market data, Point of Sales, etc.
Update and manage master data sets.
Become part of our team.",15 days ago
Associate Scientist Regulatory Affairs; Life Cycle Managemen...,Procter & Gamble,"Mumbai, Maharashtra","Procter & Gamble is one of the largest FMCG (Fast Moving Consumer Goods) company in the world with strong brands like Pampers, Ariel, Always, Gillette and Oral…",17 days ago
[ServiceNow developer] Technology Specialist Applications,Telstra,Maharashtra,"Supporting the design and development of requirements for the CMDB with automated processes for gathering and populating CMDB data.
What can we offer you?",Just posted
Pharmacovigilance-JDA (Junior data Analyst),Golden Opportunities,"Mumbai, Maharashtra",Experiences and Skills Required: Minimum 1 year of experience in Pharmacovigilance Educational Qualifications: Any Life science Graduates.,30+ days ago
Data Analyst,Institutional Shareholder Services Inc,"Mumbai, Maharashtra",Attend to internal/client queries and requests to ensure data captured is aligned with data methodology and policy guidelines.,30+ days ago
Data Analyst,Snaphunt Pte Ltd,"Mumbai, Maharashtra","You have demonstrated experience working with large and complex data sets as well as experience analysing volumes of data.
You will be responsible for :",16 days ago
Workday Integration Expert HR & Employee Experience,Sanofi,"Mumbai, Maharashtra","Bachelor's degree in computing, computer science or related scientific or technical discipline.
This position will suit an individual who is able to operate…",3 days ago
Backup Consultant,IBM,"Mumbai, Maharashtra","IBMers believe that the application of intelligence, reason and science can improve business, society and the human condition.
What about all of these?",1 day ago
Principal Data Scientist,Sanofi,"Mumbai, Maharashtra",Experience with any of the following: biomedical data types/population health data/real world data/novel data streams relevant to the pharmaceutical industry.,30+ days ago
"Seeking for ""Project Coordinator"" Kannada (any Science & Pha...",Saarathi Healthcare Pvt Ltd,"Thane, Maharashtra","All patients are to be entered in the software wherever applicable so that there is uniformity in data management.
Sending inventories and reports to the PL.",20 days ago
Team Leader,Cognizant,"Mumbai, Maharashtra","Ensures data integrity of data presented to client.
Graduate/Post Graduate/ Doctorate degree in life sciences/Pharmacy/Medical sciences/Registered Nurse.",15 days ago
"Data Management Specialist, Google Cloud Customer Engineerin...",Google,"Mumbai, Maharashtra","Experience with data migration strategies and moving large scale production systems.
Expertise in disaster recovery (DR) and data backup strategies.",1 day ago
Business Analyst,General Mills,"Mumbai, Maharashtra","Experience with syndicated data is required (experience working with ACNielsen and IRI data preferred.).
Guarantee data quality and accuracy through thorough…",6 days ago
Team Lead - General Accounting,Colgate-Palmolive,"Mumbai, Maharashtra","Respond promptly to miscellaneous data requests and audits, run matching engines and upload statements.
Relocation Assistance Offered Within Country.",7 days ago
Scientific Writer - Publications,Cactus Communications,"Mumbai, Maharashtra","Excellent data interpretation and presentation skills.
Proven skills in writing and editing documents and interpretation and summarization of complex clinical…",30+ days ago
Associate Scientist Regulatory Affairs; Life Cycle Managemen...,Procter & Gamble,"Mumbai, Maharashtra","Procter & Gamble is one of the largest FMCG (Fast Moving Consumer Goods) company in the world with strong brands like Pampers, Ariel, Always, Gillette and Oral…",19 days ago
Scientific Writer - Publications,Cactus Communications,"Mumbai, Maharashtra","Excellent data interpretation and presentation skills.
Proven skills in writing and editing documents and interpretation and summarization of complex clinical…",30+ days ago
Team Lead - General Accounting,Colgate-Palmolive,"Mumbai, Maharashtra","Respond promptly to miscellaneous data requests and audits, run matching engines and upload statements.
Relocation Assistance Offered Within Country.",9 days ago
Sales Executive,Ninjacart,"Mumbai, Maharashtra","We do this effectively at lower cost, better speed and larger scale using integrated supply chain powered by technology, data science, infrastructure and…",30+ days ago
